date,hour,users, sessionLength,event_count
2019-01-10,13,282,200,307
2019-01-10,14,229,208,244
2019-01-10,15,201,255,227
2019-01-10,16,141,308,157
2019-01-10,17,114,262,125
2019-01-10,18,66,268,71
2019-01-10,19,53,239,59
2019-01-10,20,32,291,33
2019-01-10,21,30,230,40
2019-01-10,22,25,203,28
2019-01-10,23,38,144,41
2019-01-11,0,83,174,89
2019-01-11,1,78,255,89
2019-01-11,2,108,241,118
2019-01-11,3,181,222,194
2019-01-11,4,153,236,168
2019-01-11,5,192,209,208
2019-01-11,6,182,179,195
2019-01-11,7,219,192,237
2019-01-11,8,227,203,243
2019-01-11,9,194,213,220
2019-01-11,10,263,232,301
2019-01-11,11,197,184,213
2019-01-11,12,210,205,219
2019-01-11,13,228,242,254
2019-01-11,14,199,248,218
2019-01-11,15,158,204,172
2019-01-11,16,162,228,179
2019-01-11,17,102,281,111
2019-01-11,18,71,246,80
2019-01-11,19,59,230,64
2019-01-11,20,42,226,47
2019-01-11,21,31,226,36
2019-01-11,22,31,342,32
2019-01-11,23,33,217,37
2019-01-12,0,67,199,70
2019-01-12,1,81,217,86
2019-01-12,2,85,268,92
2019-01-12,3,153,221,165
2019-01-12,4,140,213,150
2019-01-12,5,119,180,132
2019-01-12,6,156,209,181
2019-01-12,7,175,187,185
2019-01-12,8,242,221,262
2019-01-12,9,197,184,222
2019-01-12,10,217,221,246
2019-01-12,11,222,217,239
2019-01-12,12,182,293,208
2019-01-12,13,232,187,251
2019-01-12,14,183,202,203
2019-01-12,15,166,297,176
2019-01-12,16,148,275,163
2019-01-12,17,103,203,110
2019-01-12,18,76,228,76
2019-01-12,19,35,180,36
2019-01-12,20,37,305,39
2019-01-12,21,28,190,29
2019-01-12,22,32,254,34
2019-01-12,23,33,169,36
2019-01-13,0,58,179,69
2019-01-13,1,83,204,90
2019-01-13,2,119,269,133
2019-01-13,3,173,222,182
2019-01-13,4,139,236,154
2019-01-13,5,151,234,163
2019-01-13,6,121,218,137
2019-01-13,7,163,151,168
2019-01-13,8,170,242,187
2019-01-13,9,188,235,201
2019-01-13,10,201,181,218
2019-01-13,11,185,318,211
2019-01-13,12,176,211,199
2019-01-13,13,192,200,206
2019-01-13,14,198,236,227
2019-01-13,15,195,209,220
2019-01-13,16,179,207,197
2019-01-13,17,102,278,111
2019-01-13,18,57,256,62
2019-01-13,19,42,349,54
2019-01-13,20,29,276,33
2019-01-13,21,35,290,37
2019-01-13,22,18,233,19
2019-01-13,23,34,186,39
2019-01-14,0,68,248,78
2019-01-14,1,102,218,111
2019-01-14,2,129,216,141
2019-01-14,3,183,194,195
2019-01-14,4,147,196,159
2019-01-14,5,141,218,159
2019-01-14,6,176,188,197
2019-01-14,7,157,239,185
2019-01-14,8,200,210,215
2019-01-14,9,200,172,218
2019-01-14,10,170,224,197
2019-01-14,11,157,851,180
2019-01-14,12,176,278,205
2019-01-14,13,216,205,234
2019-01-14,14,169,224,195
2019-01-14,15,165,214,183
2019-01-14,16,138,198,148
2019-01-14,17,106,256,121
2019-01-14,18,77,325,84
2019-01-14,19,33,299,36
2019-01-14,20,31,236,32
2019-01-14,21,35,305,35
2019-01-14,22,27,310,30
2019-01-14,23,32,181,32
2019-01-15,0,54,175,59
2019-01-15,1,90,231,99
2019-01-15,2,114,216,125
2019-01-15,3,193,227,206
2019-01-15,4,177,190,191
2019-01-15,5,129,324,145
2019-01-15,6,204,178,233
2019-01-15,7,163,232,177
2019-01-15,8,221,171,232
2019-01-15,9,139,221,153
2019-01-15,10,209,208,223
2019-01-15,11,218,175,236
2019-01-15,12,277,245,294
2019-01-15,13,224,250,247
2019-01-15,14,197,269,223
2019-01-15,15,136,287,151
2019-01-15,16,145,263,149
2019-01-15,17,109,280,120
2019-01-15,18,57,323,62
2019-01-15,19,32,255,33
2019-01-15,20,27,258,29
2019-01-15,21,22,212,23
2019-01-15,22,29,213,34
2019-01-15,23,32,362,33
2019-01-16,0,53,221,57
2019-01-16,1,75,271,83
2019-01-16,2,103,228,112
2019-01-16,3,151,265,160
2019-01-16,4,114,242,122
2019-01-16,5,201,209,236
2019-01-16,6,192,228,212
2019-01-16,7,179,201,192
2019-01-16,8,211,222,234
2019-01-16,9,181,244,208
2019-01-16,10,177,257,194
2019-01-16,11,174,314,189
2019-01-16,12,197,267,221
2019-01-16,13,213,200,226
2019-01-16,14,202,224,222
2019-01-16,15,173,205,191
2019-01-16,16,128,274,145
2019-01-16,17,151,251,163
2019-01-16,18,88,219,94
2019-01-16,19,38,264,38
2019-01-16,20,31,274,33
2019-01-16,21,38,242,41
2019-01-16,22,40,255,42
2019-01-16,23,38,233,39
2019-01-17,0,72,182,84
2019-01-17,1,92,195,98
2019-01-17,2,137,243,147
2019-01-17,3,177,210,191
2019-01-17,4,186,185,214
2019-01-17,5,144,261,176
2019-01-17,6,163,238,203
2019-01-17,7,235,247,278
2019-01-17,8,282,1114,304
2019-01-17,9,250,198,295
2019-01-17,10,190,234,210
2019-01-17,11,214,195,234
2019-01-17,12,170,262,200
2019-01-17,13,239,301,265
2019-01-17,14,233,257,249
2019-01-17,15,208,204,226
2019-01-17,16,146,252,159
2019-01-17,17,109,213,119
2019-01-17,18,63,266,64
2019-01-17,19,37,199,38
2019-01-17,20,32,250,36
2019-01-17,21,31,306,33
2019-01-17,22,34,231,36
2019-01-17,23,30,108,31
2019-01-18,0,63,150,68
2019-01-18,1,88,239,91
2019-01-18,2,95,200,101
2019-01-18,3,99,185,122
2019-01-18,4,109,319,116
2019-01-18,5,116,208,129
2019-01-18,6,156,193,173
2019-01-18,7,211,213,231
2019-01-18,8,208,222,246
2019-01-18,9,149,275,168
2019-01-18,10,168,232,193
2019-01-18,11,194,237,215
2019-01-18,12,226,217,243
2019-01-18,13,189,205,210
2019-01-18,14,209,226,225
2019-01-18,15,179,265,205
2019-01-18,16,120,225,128
2019-01-18,17,85,384,96
2019-01-18,18,65,413,71
2019-01-18,19,36,234,37
2019-01-18,20,29,272,32
2019-01-18,21,15,271,16
2019-01-18,22,21,194,21
2019-01-18,23,32,153,38
2019-01-19,0,39,262,47
2019-01-19,1,83,323,91
2019-01-19,2,109,255,123
2019-01-19,3,111,277,119
2019-01-19,4,141,245,162
2019-01-19,5,134,251,141
2019-01-19,6,136,322,147
2019-01-19,7,155,356,174
2019-01-19,8,153,270,178
2019-01-19,9,181,172,202
2019-01-19,10,163,230,191
2019-01-19,11,193,238,229
2019-01-19,12,177,249,217
2019-01-19,13,193,219,221
2019-01-19,14,125,192,139
2019-01-19,15,161,264,178
2019-01-19,16,118,274,137
2019-01-19,17,97,283,125
2019-01-19,18,54,386,59
2019-01-19,19,34,282,45
2019-01-19,20,33,286,34
2019-01-19,21,20,308,20
2019-01-19,22,26,202,31
2019-01-19,23,35,324,37
2019-01-20,0,42,176,43
2019-01-20,1,63,270,76
2019-01-20,2,107,174,119
2019-01-20,3,170,208,188
2019-01-20,4,150,221,169
2019-01-20,5,137,209,147
2019-01-20,6,130,205,137
2019-01-20,7,162,200,182
2019-01-20,8,236,225,260
2019-01-20,9,165,190,180
2019-01-20,10,198,887,210
2019-01-20,11,203,209,224
2019-01-20,12,167,207,178
2019-01-20,13,193,224,214
2019-01-20,14,144,234,156
2019-01-20,15,136,268,155
2019-01-20,16,111,236,121
2019-01-20,17,91,256,102
2019-01-20,18,68,210,74
2019-01-20,19,25,555,29
2019-01-20,20,27,454,29
2019-01-20,21,18,961,22
2019-01-20,22,25,186,26
2019-01-20,23,24,277,26
2019-01-21,0,66,174,72
2019-01-21,1,112,276,118
2019-01-21,2,115,327,127
2019-01-21,3,174,252,190
2019-01-21,4,166,265,194
2019-01-21,5,144,338,167
2019-01-21,6,136,254,152
2019-01-21,7,134,237,149
2019-01-21,8,209,244,226
2019-01-21,9,159,253,181
2019-01-21,10,186,194,222
2019-01-21,11,154,274,178
2019-01-21,12,160,235,179
2019-01-21,13,152,287,170
2019-01-21,14,223,274,243
2019-01-21,15,205,196,216
2019-01-21,16,146,271,152
2019-01-21,17,123,274,129
2019-01-21,18,63,286,79
2019-01-21,19,43,523,46
2019-01-21,20,21,204,22
2019-01-21,21,32,206,32
2019-01-21,22,29,3097,31
2019-01-21,23,31,290,33
2019-01-22,0,64,198,70
2019-01-22,1,84,271,93
2019-01-22,2,114,247,131
2019-01-22,3,178,272,192
2019-01-22,4,168,219,180
2019-01-22,5,183,266,217
2019-01-22,6,159,236,196
2019-01-22,7,210,246,272
2019-01-22,8,208,189,226
2019-01-22,9,199,195,243
2019-01-22,10,152,228,174
2019-01-22,11,130,229,152
2019-01-22,12,167,242,187
2019-01-22,13,174,247,203
2019-01-22,14,179,225,187
2019-01-22,15,145,239,158
2019-01-22,16,120,284,123
2019-01-22,17,94,261,106
2019-01-22,18,41,211,43
2019-01-22,19,37,315,40
2019-01-22,20,26,221,29
2019-01-22,21,19,310,19
2019-01-22,22,28,654,29
2019-01-22,23,34,253,37
2019-01-23,0,30,206,32
2019-01-23,1,82,230,88
2019-01-23,2,116,243,127
2019-01-23,3,153,257,167
2019-01-23,4,145,225,159
2019-01-23,5,151,226,178
2019-01-23,6,144,286,159
2019-01-23,7,207,776,229
2019-01-23,8,247,222,279
2019-01-23,9,203,232,237
2019-01-23,10,224,144,246
2019-01-23,11,191,338,219
2019-01-23,12,206,244,225
2019-01-23,13,253,191,287
2019-01-23,14,184,287,203
2019-01-23,15,143,213,158
2019-01-23,16,150,204,168
2019-01-23,17,121,244,132
2019-01-23,18,68,245,71
2019-01-23,19,40,252,42
2019-01-23,20,20,178,21
2019-01-23,21,32,224,32
2019-01-23,22,24,148,27
2019-01-23,23,33,160,35
2019-01-24,0,69,199,77
2019-01-24,1,104,224,109
2019-01-24,2,123,241,128
2019-01-24,3,183,235,201
2019-01-24,4,182,179,203
2019-01-24,5,149,249,169
2019-01-24,6,190,238,214
2019-01-24,7,171,174,189
2019-01-24,8,246,213,277
2019-01-24,9,170,230,192
2019-01-24,10,207,283,235
2019-01-24,11,187,219,216
2019-01-24,12,219,266,236
2019-01-24,13,188,196,200
2019-01-24,14,168,252,184
2019-01-24,15,149,213,165
2019-01-24,16,126,197,133
2019-01-24,17,96,313,105
2019-01-24,18,59,226,61
2019-01-24,19,42,209,47
2019-01-24,20,32,175,33
2019-01-24,21,33,224,37
2019-01-24,22,24,206,24
2019-01-24,23,32,205,32
2019-01-25,0,52,128,56
2019-01-25,1,80,135,84
2019-01-25,2,96,436,99
2019-01-25,3,138,225,152
2019-01-25,4,120,214,128
2019-01-25,5,125,192,147
2019-01-25,6,106,256,117
2019-01-25,7,122,211,134
2019-01-25,8,234,184,259
2019-01-25,9,165,235,179
2019-01-25,10,156,213,173
2019-01-25,11,136,222,147
2019-01-25,12,118,163,125
2019-01-25,13,193,214,207
2019-01-25,14,152,203,169
2019-01-25,15,131,230,152
2019-01-25,16,137,231,153
2019-01-25,17,111,268,115
2019-01-25,18,88,211,105
2019-01-25,19,53,257,56
2019-01-25,20,34,200,37
2019-01-25,21,24,373,24
2019-01-25,22,36,245,38
2019-01-25,23,37,210,37
2019-01-26,0,53,214,59
2019-01-26,1,95,217,100
2019-01-26,2,106,161,118
2019-01-26,3,161,197,166
2019-01-26,4,143,215,155
2019-01-26,5,113,179,117
2019-01-26,6,140,203,159
2019-01-26,7,173,258,192
2019-01-26,8,235,198,263
2019-01-26,9,179,264,190
2019-01-26,10,165,133,178
2019-01-26,11,179,239,192
2019-01-26,12,177,232,191
2019-01-26,13,208,245,223
2019-01-26,14,163,272,188
2019-01-26,15,143,579,152
2019-01-26,16,125,278,138
2019-01-26,17,102,215,115
2019-01-26,18,80,178,83
2019-01-26,19,53,-182,55
2019-01-26,20,33,308,34
2019-01-26,21,21,85,21
2019-01-26,22,27,116,28
2019-01-26,23,42,75,42
2019-01-27,0,55,156,57
2019-01-27,1,119,190,132
2019-01-27,2,122,310,132
2019-01-27,3,182,263,195
2019-01-27,4,167,140,181
2019-01-27,5,205,200,219
2019-01-27,6,179,178,211
2019-01-27,7,180,255,197
2019-01-27,8,245,193,259
2019-01-27,9,197,254,253
2019-01-27,10,196,226,216
2019-01-27,11,177,237,201
2019-01-27,12,174,165,193
2019-01-27,13,187,203,207
2019-01-27,14,143,239,156
2019-01-27,15,158,264,175
2019-01-27,16,110,-182,114
2019-01-27,17,80,300,87
2019-01-27,18,68,270,74
2019-01-27,19,49,293,53
2019-01-27,20,31,193,36
2019-01-27,21,25,431,29
2019-01-27,22,32,198,34
2019-01-27,23,33,164,35
2019-01-28,0,54,246,63
2019-01-28,1,96,264,104
2019-01-28,2,121,192,133
2019-01-28,3,184,217,192
2019-01-28,4,150,232,167
2019-01-28,5,142,216,161
2019-01-28,6,164,170,180
2019-01-28,7,165,89,181
2019-01-28,8,219,226,242
2019-01-28,9,201,184,228
2019-01-28,10,142,242,158
2019-01-28,11,147,235,159
2019-01-28,12,202,230,228
2019-01-28,13,204,222,228
2019-01-28,14,138,416,144
2019-01-28,15,127,274,147
2019-01-28,16,126,221,138
2019-01-28,17,82,243,92
2019-01-28,18,47,280,49
2019-01-28,19,47,245,52
2019-01-28,20,31,295,37
2019-01-28,21,31,175,33
2019-01-28,22,29,547,34
2019-01-28,23,37,117,38
2019-01-29,0,60,208,62
2019-01-29,1,109,263,119
2019-01-29,2,125,213,140
2019-01-29,3,164,230,181
2019-01-29,4,174,287,198
2019-01-29,5,159,254,185
2019-01-29,6,204,262,231
2019-01-29,7,203,201,230
2019-01-29,8,230,276,253
2019-01-29,9,214,223,252
2019-01-29,10,202,215,224
2019-01-29,11,165,268,196
2019-01-29,12,187,215,206
2019-01-29,13,196,288,209
2019-01-29,14,150,251,165
2019-01-29,15,148,183,160
2019-01-29,16,129,293,141
2019-01-29,17,89,401,100
2019-01-29,18,50,279,56
2019-01-29,19,53,268,58
2019-01-29,20,36,254,37
2019-01-29,21,28,215,30
2019-01-29,22,31,155,34
2019-01-29,23,32,329,81
2019-01-30,0,68,180,74
2019-01-30,1,98,231,111
2019-01-30,2,123,258,141
2019-01-30,3,167,204,189
2019-01-30,4,157,324,176
2019-01-30,5,165,252,196
2019-01-30,6,154,223,182
2019-01-30,7,177,199,202
2019-01-30,8,223,210,229
2019-01-30,9,182,262,204
2019-01-30,10,196,198,219
2019-01-30,11,215,204,243
2019-01-30,12,202,264,228
2019-01-30,13,204,227,224
2019-01-30,14,186,229,201
2019-01-30,15,180,251,197
2019-01-30,16,140,232,155
2019-01-30,17,140,217,149
2019-01-30,18,69,219,76
2019-01-30,19,45,310,51
2019-01-30,20,39,257,39
2019-01-30,21,29,239,34
2019-01-30,22,37,210,39
2019-01-30,23,34,114,39
2019-01-31,0,46,150,301
2019-01-31,1,78,264,82
2019-01-31,2,107,212,116
2019-01-31,3,155,182,172
2019-01-31,4,170,226,192
2019-01-31,5,190,238,215
2019-01-31,6,165,214,191
2019-01-31,7,199,212,228
2019-01-31,8,216,198,238
2019-01-31,9,162,195,188
2019-01-31,10,191,275,215
2019-01-31,11,181,174,205
2019-01-31,12,160,248,176
2019-01-31,13,216,204,231
2019-01-31,14,184,255,203
2019-01-31,15,159,223,177
2019-01-31,16,138,248,154
2019-01-31,17,82,277,91
2019-01-31,18,69,-460,73
2019-01-31,19,46,299,48
2019-01-31,20,29,263,30
2019-01-31,21,29,203,32
2019-01-31,22,29,292,31
2019-01-31,23,33,257,35
2019-02-01,0,48,226,51
2019-02-01,1,62,246,64
2019-02-01,2,104,266,106
2019-02-01,3,136,262,148
2019-02-01,4,116,263,137
2019-02-01,5,135,233,148
2019-02-01,6,203,232,238
2019-02-01,7,223,229,243
2019-02-01,8,222,216,245
2019-02-01,9,207,278,228
2019-02-01,10,205,291,225
2019-02-01,11,224,206,250
2019-02-01,12,198,200,209
2019-02-01,13,220,206,243
2019-02-01,14,188,241,198
2019-02-01,15,145,197,172
2019-02-01,16,147,20,158
2019-02-01,17,115,290,126
2019-02-01,18,64,210,73
2019-02-01,19,42,398,43
2019-02-01,20,40,327,43
2019-02-01,21,27,1148,31
2019-02-01,22,34,203,37
2019-02-01,23,28,299,28
2019-02-02,0,62,250,65
2019-02-02,1,88,229,94
2019-02-02,2,110,266,117
2019-02-02,3,125,219,141
2019-02-02,4,153,196,162
2019-02-02,5,156,223,169
2019-02-02,6,127,136,134
2019-02-02,7,127,248,148
2019-02-02,8,194,203,211
2019-02-02,9,201,215,218
2019-02-02,10,155,241,170
2019-02-02,11,210,231,226
2019-02-02,12,157,154,173
2019-02-02,13,212,56,230
2019-02-02,14,163,218,182
2019-02-02,15,138,513,151
2019-02-02,16,121,323,131
2019-02-02,17,99,264,108
2019-02-02,18,67,-79,70
2019-02-02,19,43,270,43
2019-02-02,20,29,457,29
2019-02-02,21,22,229,23
2019-02-02,22,24,180,27
2019-02-02,23,26,245,27
2019-02-03,0,48,258,48
2019-02-03,1,72,203,73
2019-02-03,2,170,66,184
2019-02-03,3,154,211,162
2019-02-03,4,140,214,155
2019-02-03,5,144,188,160
2019-02-03,6,147,212,159
2019-02-03,7,161,164,173
2019-02-03,8,218,193,241
2019-02-03,9,172,211,183
2019-02-03,10,167,186,181
2019-02-03,11,164,202,180
2019-02-03,12,161,231,173
2019-02-03,13,188,193,215
2019-02-03,14,202,240,209
2019-02-03,15,151,268,168
2019-02-03,16,148,11,166
2019-02-03,17,104,242,116
2019-02-03,18,59,279,62
2019-02-03,19,44,404,45
2019-02-03,20,21,455,24
2019-02-03,21,28,361,28
2019-02-03,22,25,153,26
2019-02-03,23,36,226,39
2019-02-04,0,57,160,62
2019-02-04,1,89,268,97
2019-02-04,2,123,238,140
2019-02-04,3,161,252,179
2019-02-04,4,147,211,165
2019-02-04,5,211,226,235
2019-02-04,6,198,201,236
2019-02-04,7,200,211,219
2019-02-04,8,207,225,230
2019-02-04,9,212,37,240
2019-02-04,10,234,227,275
2019-02-04,11,197,249,240
2019-02-04,12,189,265,208
2019-02-04,13,231,173,251
2019-02-04,14,221,230,242
2019-02-04,15,172,194,195
2019-02-04,16,200,278,217
2019-02-04,17,108,272,121
2019-02-04,18,61,330,62
2019-02-04,19,37,307,42
2019-02-04,20,35,243,37
2019-02-04,21,26,397,28
2019-02-04,22,28,107,36
2019-02-04,23,42,207,45
2019-02-05,0,63,219,68
2019-02-05,1,102,119,115
2019-02-05,2,136,170,147
2019-02-05,3,128,270,131
2019-02-05,4,154,202,183
2019-02-05,5,158,165,216
2019-02-05,6,240,235,276
2019-02-05,7,183,220,203
2019-02-05,8,218,228,243
2019-02-05,9,191,204,219
2019-02-05,10,197,239,218
2019-02-05,11,177,215,203
2019-02-05,12,179,197,198
2019-02-05,13,223,174,242
2019-02-05,14,205,188,218
2019-02-05,15,212,270,233
2019-02-05,16,160,196,170
2019-02-05,17,105,236,115
2019-02-05,18,71,188,76
2019-02-05,19,41,248,42
2019-02-05,20,43,440,46
2019-02-05,21,20,249,21
2019-02-05,22,36,236,36
2019-02-05,23,39,179,42
2019-02-06,0,50,240,60
2019-02-06,1,96,290,115
2019-02-06,2,122,220,134
2019-02-06,3,160,243,176
2019-02-06,4,131,240,167
2019-02-06,5,206,209,236
2019-02-06,6,220,236,250
2019-02-06,7,224,208,255
2019-02-06,8,221,223,238
2019-02-06,9,184,-34,207
2019-02-06,10,238,207,289
2019-02-06,11,195,282,230
2019-02-06,12,244,311,277
2019-02-06,13,232,186,257
2019-02-06,14,237,278,254
2019-02-06,15,171,198,180
2019-02-06,16,136,275,150
2019-02-06,17,110,245,121
2019-02-06,18,66,663,70
2019-02-06,19,38,343,38
2019-02-06,20,34,151,35
2019-02-06,21,26,441,31
2019-02-06,22,30,184,31
2019-02-06,23,32,220,34
2019-02-07,0,64,113,69
2019-02-07,1,75,174,78
2019-02-07,2,109,277,126
2019-02-07,3,179,266,199
2019-02-07,4,157,142,177
2019-02-07,5,131,224,151
2019-02-07,6,165,267,187
2019-02-07,7,170,178,186
2019-02-07,8,226,212,244
2019-02-07,9,172,274,194
2019-02-07,10,204,207,254
2019-02-07,11,197,227,212
2019-02-07,12,162,149,175
2019-02-07,13,207,237,222
2019-02-07,14,179,268,190
2019-02-07,15,132,215,146
2019-02-07,16,138,285,152
2019-02-07,17,99,266,106
2019-02-07,18,48,329,51
2019-02-07,19,38,340,40
2019-02-07,20,33,272,35
2019-02-07,21,30,395,32
2019-02-07,22,28,113,30
2019-02-07,23,31,292,35
2019-02-08,0,51,163,54
2019-02-08,1,82,148,96
2019-02-08,2,103,197,114
2019-02-08,3,153,269,167
2019-02-08,4,139,241,155
2019-02-08,5,160,102,181
2019-02-08,6,193,207,222
2019-02-08,7,226,221,263
2019-02-08,8,232,179,274
2019-02-08,9,206,225,252
2019-02-08,10,223,246,248
2019-02-08,11,212,229,237
2019-02-08,12,177,210,197
2019-02-08,13,221,241,237
2019-02-08,14,189,212,201
2019-02-08,15,167,263,182
2019-02-08,16,150,299,171
2019-02-08,17,89,246,98
2019-02-08,18,63,280,71
2019-02-08,19,51,257,60
2019-02-08,20,31,233,33
2019-02-08,21,31,205,33
2019-02-08,22,25,150,26
2019-02-08,23,27,128,27
2019-02-09,0,53,216,55
2019-02-09,1,92,219,106
2019-02-09,2,109,226,127
2019-02-09,3,174,223,186
2019-02-09,4,129,682,142
2019-02-09,5,138,265,169
2019-02-09,6,118,183,133
2019-02-09,7,142,240,159
2019-02-09,8,204,227,231
2019-02-09,9,169,217,189
2019-02-09,10,178,220,191
2019-02-09,11,186,220,208
2019-02-09,12,184,171,209
2019-02-09,13,230,234,248
2019-02-09,14,148,267,158
2019-02-09,15,169,210,185
2019-02-09,16,120,316,136
2019-02-09,17,95,115,103
