hour,date,users,event_count,event_name,day
3,2019-01-02,1,1,aO,14
3,2019-01-02,1,1,fL,14
4,2019-01-02,2,2,aO,1
4,2019-01-02,1,1,fL,21
4,2019-01-02,1,1,bBCD,0
4,2019-01-02,1,1,sD,7
4,2019-01-02,1,1,nR,90
4,2019-01-02,1,1,aO,90
4,2019-01-02,1,1,aO,0
4,2019-01-02,1,4,sD,0
4,2019-01-02,1,1,bBCD,7
4,2019-01-02,1,1,nO,7
4,2019-01-02,1,1,aS,1
4,2019-01-02,2,3,aO,7
4,2019-01-02,2,2,bBCA,1
4,2019-01-02,1,1,bBCA,21
4,2019-01-02,1,1,nR,7
4,2019-01-02,1,1,aO,21
4,2019-01-02,1,1,cFE,1
4,2019-01-02,1,1,bBCD,21
4,2019-01-02,1,7,aS,0
4,2019-01-02,1,1,bBCA,7
4,2019-01-02,1,1,nO,90
4,2019-01-02,1,1,bBCA,0
4,2019-01-02,1,1,aS,7
4,2019-01-02,2,17,fL,7
4,2019-01-02,1,1,cFE,0
4,2019-01-02,1,1,nO,21
4,2019-01-02,1,1,bBCD,1
4,2019-01-02,1,2,fL,1
5,2019-01-02,1,3,fL,0
5,2019-01-02,1,1,nR,1
5,2019-01-02,1,2,fL,14
5,2019-01-02,3,3,nO,1
5,2019-01-02,2,12,aS,0
5,2019-01-02,1,1,aO,14
5,2019-01-02,1,3,bST,0
5,2019-01-02,2,12,sD,0
5,2019-01-02,1,1,bBCA,21
5,2019-01-02,4,5,bBCD,1
5,2019-01-02,1,3,sD,21
5,2019-01-02,1,1,bBCA,14
5,2019-01-02,1,1,aO,21
5,2019-01-02,5,7,aO,1
5,2019-01-02,3,12,sD,1
5,2019-01-02,2,6,aS,1
5,2019-01-02,1,1,nO,21
5,2019-01-02,1,1,bBCD,21
5,2019-01-02,1,1,bBCD,14
5,2019-01-02,1,9,aS,21
5,2019-01-02,1,1,aO,0
5,2019-01-02,2,4,bBCA,0
5,2019-01-02,1,1,bBCD,0
5,2019-01-02,1,7,fL,21
5,2019-01-02,5,6,bBCA,1
5,2019-01-02,1,2,aS,14
5,2019-01-02,1,1,bST,21
5,2019-01-02,1,1,sD,14
5,2019-01-02,1,4,cFE,0
5,2019-01-02,4,19,fL,1
6,2019-01-02,1,1,bBCD,0
6,2019-01-02,1,1,bBCD,21
6,2019-01-02,1,8,fL,14
6,2019-01-02,1,1,bBCA,14
6,2019-01-02,2,2,nO,1
6,2019-01-02,3,13,fL,1
6,2019-01-02,3,7,bBCA,1
6,2019-01-02,1,1,bBCA,21
6,2019-01-02,1,1,sD,0
6,2019-01-02,1,4,bST,14
6,2019-01-02,2,5,bBCD,1
6,2019-01-02,1,1,fL,21
6,2019-01-02,2,4,sD,1
6,2019-01-02,1,4,aS,1
6,2019-01-02,1,1,aS,0
6,2019-01-02,2,2,aO,21
6,2019-01-02,2,2,aO,0
6,2019-01-02,1,6,nR,14
6,2019-01-02,1,2,aS,14
6,2019-01-02,1,2,aS,90
6,2019-01-02,1,1,aO,90
6,2019-01-02,2,5,nR,21
6,2019-01-02,1,1,bBCA,0
6,2019-01-02,1,5,fL,90
6,2019-01-02,1,1,bST,1
6,2019-01-02,2,3,nO,21
6,2019-01-02,2,2,fL,0
6,2019-01-02,1,1,bBCD,14
6,2019-01-02,1,4,aO,14
6,2019-01-02,3,3,aO,1
6,2019-01-02,2,2,cFE,0
6,2019-01-02,1,2,nO,14
7,2019-01-02,1,1,bBCA,14
7,2019-01-02,2,7,bST,0
7,2019-01-02,1,1,nO,0
7,2019-01-02,1,2,nR,14
7,2019-01-02,1,1,bBCA,21
7,2019-01-02,1,2,fL,21
7,2019-01-02,1,5,sD,21
7,2019-01-02,1,2,fL,1
7,2019-01-02,1,2,cFE,1
7,2019-01-02,1,1,bBCD,14
7,2019-01-02,1,2,nR,7
7,2019-01-02,1,16,aS,7
7,2019-01-02,1,1,nO,7
7,2019-01-02,1,1,aO,14
7,2019-01-02,1,3,bST,7
7,2019-01-02,6,17,sD,0
7,2019-01-02,1,1,bBCD,21
7,2019-01-02,1,1,aO,1
7,2019-01-02,1,6,sD,1
7,2019-01-02,1,4,aS,1
7,2019-01-02,1,1,aO,7
7,2019-01-02,1,1,bBCA,1
7,2019-01-02,1,1,fL,14
7,2019-01-02,8,8,aO,0
7,2019-01-02,10,25,cFE,0
7,2019-01-02,1,1,nO,1
7,2019-01-02,1,5,aS,21
7,2019-01-02,6,11,bBCA,0
7,2019-01-02,6,6,bBCD,0
7,2019-01-02,7,20,aS,0
7,2019-01-02,1,1,bBCD,1
7,2019-01-02,1,10,fL,7
7,2019-01-02,1,14,sD,7
7,2019-01-02,2,2,nR,0
7,2019-01-02,8,22,fL,0
8,2019-01-02,2,2,nO,1
8,2019-01-02,1,1,bBCD,90
8,2019-01-02,8,17,fL,0
8,2019-01-02,1,1,cFE,1
8,2019-01-02,1,4,fL,90
8,2019-01-02,7,12,cFE,0
8,2019-01-02,1,2,nO,90
8,2019-01-02,1,8,bBCA,1
8,2019-01-02,2,2,nR,0
8,2019-01-02,1,1,bST,90
8,2019-01-02,1,1,aO,45
8,2019-01-02,1,6,bBCD,1
8,2019-01-02,1,10,fL,1
8,2019-01-02,5,12,sD,0
8,2019-01-02,1,5,aS,90
8,2019-01-02,5,14,aS,0
8,2019-01-02,1,2,cFE,14
8,2019-01-02,2,4,fL,14
8,2019-01-02,1,2,aO,90
8,2019-01-02,2,2,aO,14
8,2019-01-02,4,6,bBCD,0
8,2019-01-02,1,1,bST,1
8,2019-01-02,1,2,nR,1
8,2019-01-02,1,1,bBCA,90
8,2019-01-02,1,1,nR,90
8,2019-01-02,1,1,nO,14
8,2019-01-02,1,1,bBCD,14
8,2019-01-02,10,11,aO,0
8,2019-01-02,1,1,sD,14
8,2019-01-02,1,1,nO,45
8,2019-01-02,1,2,aS,14
8,2019-01-02,1,7,aS,1
8,2019-01-02,1,2,bBCA,14
8,2019-01-02,5,9,bBCA,0
8,2019-01-02,2,2,bST,0
8,2019-01-02,3,3,nO,0
8,2019-01-02,1,4,sD,90
8,2019-01-02,1,3,nR,14
8,2019-01-02,1,3,sD,1
8,2019-01-02,1,1,fL,45
8,2019-01-02,2,2,aO,1
9,2019-01-02,2,3,fL,7
9,2019-01-02,1,1,nR,7
9,2019-01-02,1,1,bBCA,45
9,2019-01-02,1,3,aS,14
9,2019-01-02,5,11,fL,1
9,2019-01-02,1,2,fL,45
9,2019-01-02,1,3,bBCA,14
9,2019-01-02,1,1,nR,45
9,2019-01-02,3,3,bBCA,1
9,2019-01-02,1,2,nO,7
9,2019-01-02,5,60,sD,0
9,2019-01-02,4,4,aO,1
9,2019-01-02,1,1,aO,14
9,2019-01-02,1,2,sD,14
9,2019-01-02,2,2,bBCD,1
9,2019-01-02,6,29,fL,0
9,2019-01-02,2,3,bBCA,7
9,2019-01-02,6,96,cFE,0
9,2019-01-02,5,29,aS,0
9,2019-01-02,6,6,aO,0
9,2019-01-02,1,1,nO,14
9,2019-01-02,1,1,bBCD,14
9,2019-01-02,1,1,nR,0
9,2019-01-02,1,2,cFE,14
9,2019-01-02,2,2,aS,1
9,2019-01-02,3,6,bBCA,0
9,2019-01-02,1,2,fL,14
9,2019-01-02,1,2,aO,7
9,2019-01-02,2,4,nR,1
9,2019-01-02,1,4,sD,1
9,2019-01-02,3,4,bBCD,0
9,2019-01-02,1,1,bBCD,45
9,2019-01-02,1,1,nO,45
9,2019-01-02,1,1,nO,0
9,2019-01-02,1,1,bST,1
9,2019-01-02,1,1,aO,45
9,2019-01-02,3,6,nO,1
9,2019-01-02,1,2,bBCD,7
9,2019-01-02,3,3,cFE,1
10,2019-01-02,2,3,bBCA,21
10,2019-01-02,1,1,aO,7
10,2019-01-02,2,4,aS,21
10,2019-01-02,6,23,fL,0
10,2019-01-02,1,1,nR,0
10,2019-01-02,1,4,nR,21
10,2019-01-02,4,14,cFE,0
10,2019-01-02,2,4,sD,21
10,2019-01-02,2,3,bBCD,0
10,2019-01-02,1,2,bST,0
10,2019-01-02,3,3,aO,21
10,2019-01-02,1,2,nO,21
10,2019-01-02,1,1,nR,7
10,2019-01-02,1,2,sD,7
10,2019-01-02,4,8,bBCA,0
10,2019-01-02,1,2,aS,7
10,2019-01-02,1,2,fL,7
10,2019-01-02,3,7,fL,21
10,2019-01-02,4,14,aS,0
10,2019-01-02,2,3,bBCD,21
10,2019-01-02,6,6,aO,0
10,2019-01-02,5,19,sD,0
11,2019-01-02,1,1,nO,21
11,2019-01-02,1,1,aO,7
11,2019-01-02,1,6,cFE,14
11,2019-01-02,1,2,bST,0
11,2019-01-02,1,1,nO,7
11,2019-01-02,2,4,fL,1
11,2019-01-02,3,3,bBCD,0
11,2019-01-02,2,2,sD,1
11,2019-01-02,3,8,aS,0
11,2019-01-02,1,2,bST,14
11,2019-01-02,2,2,bBCA,1
11,2019-01-02,3,3,aO,1
11,2019-01-02,4,6,sD,0
11,2019-01-02,3,79,cFE,0
11,2019-01-02,2,2,bBCD,14
11,2019-01-02,1,7,aS,14
11,2019-01-02,1,1,nO,0
11,2019-01-02,1,101,cFE,1
11,2019-01-02,3,4,bBCA,0
11,2019-01-02,2,28,fL,14
11,2019-01-02,1,5,nR,7
11,2019-01-02,1,7,sD,14
11,2019-01-02,1,4,fL,7
11,2019-01-02,5,14,fL,0
11,2019-01-02,1,1,aO,21
11,2019-01-02,1,1,nR,1
11,2019-01-02,1,1,nR,21
11,2019-01-02,1,1,bBCD,21
11,2019-01-02,1,1,sD,21
11,2019-01-02,1,4,aS,21
11,2019-01-02,3,3,aO,14
11,2019-01-02,3,5,nO,14
11,2019-01-02,1,2,nO,1
11,2019-01-02,2,2,bBCD,1
11,2019-01-02,1,5,fL,21
11,2019-01-02,1,1,bBCA,21
11,2019-01-02,5,6,aO,0
11,2019-01-02,1,1,sD,7
11,2019-01-02,2,20,bBCA,14
12,2019-01-02,1,2,bBCD,7
12,2019-01-02,2,3,fL,14
12,2019-01-02,2,2,sD,7
12,2019-01-02,3,3,aO,7
12,2019-01-02,1,1,nO,0
12,2019-01-02,1,2,sD,21
12,2019-01-02,1,1,aO,45
12,2019-01-02,3,10,fL,7
12,2019-01-02,4,4,aO,1
12,2019-01-02,1,1,aS,0
12,2019-01-02,1,2,fL,45
12,2019-01-02,1,6,bBCA,14
12,2019-01-02,2,4,aS,7
12,2019-01-02,3,3,bBCD,1
12,2019-01-02,1,2,bBCA,0
12,2019-01-02,1,1,nR,7
12,2019-01-02,2,2,sD,0
12,2019-01-02,2,2,aO,21
12,2019-01-02,2,44,cFE,1
12,2019-01-02,3,4,nR,1
12,2019-01-02,1,1,bST,7
12,2019-01-02,1,2,aS,21
12,2019-01-02,1,4,fL,0
12,2019-01-02,1,2,nO,7
12,2019-01-02,2,2,nO,21
12,2019-01-02,2,2,nO,1
12,2019-01-02,5,5,aO,0
12,2019-01-02,3,7,bBCA,1
12,2019-01-02,1,2,nR,21
12,2019-01-02,1,2,fL,21
12,2019-01-02,1,1,aO,14
12,2019-01-02,1,2,cFE,14
12,2019-01-02,2,218,cFE,0
12,2019-01-02,1,3,bBCA,7
12,2019-01-02,3,9,fL,1
12,2019-01-02,2,8,aS,1
12,2019-01-02,3,9,sD,1
13,2019-01-02,1,9,cFE,7
13,2019-01-02,2,12,sD,7
13,2019-01-02,2,2,bBCA,7
13,2019-01-02,2,2,bBCD,21
13,2019-01-02,6,7,aO,0
13,2019-01-02,1,1,nO,90
13,2019-01-02,1,1,aO,90
13,2019-01-02,1,2,bBCA,1
13,2019-01-02,1,1,bBCD,90
13,2019-01-02,6,19,aS,0
13,2019-01-02,4,4,aO,21
13,2019-01-02,1,1,nR,21
13,2019-01-02,3,8,aS,7
13,2019-01-02,1,1,bST,7
13,2019-01-02,5,61,cFE,0
13,2019-01-02,3,4,nO,21
13,2019-01-02,2,2,bBCD,7
13,2019-01-02,3,19,fL,7
13,2019-01-02,2,2,bBCA,21
13,2019-01-02,6,22,fL,0
13,2019-01-02,6,6,bBCA,0
13,2019-01-02,1,2,aS,90
13,2019-01-02,1,2,bBCA,90
13,2019-01-02,3,3,aO,7
13,2019-01-02,1,2,aO,1
13,2019-01-02,4,4,bBCD,0
13,2019-01-02,1,1,fL,90
13,2019-01-02,3,3,fL,21
13,2019-01-02,3,11,sD,0
13,2019-01-02,1,4,bST,0
14,2019-01-02,8,21,fL,0
14,2019-01-02,1,2,nO,7
14,2019-01-02,1,1,cFE,14
14,2019-01-02,1,1,fL,21
14,2019-01-02,5,24,sD,0
14,2019-01-02,2,9,aS,7
14,2019-01-02,6,12,bBCA,0
14,2019-01-02,7,27,aS,0
14,2019-01-02,1,1,aO,14
14,2019-01-02,3,7,aS,1
14,2019-01-02,1,6,sD,14
14,2019-01-02,6,8,bBCD,0
14,2019-01-02,2,7,sD,1
14,2019-01-02,2,3,aO,7
14,2019-01-02,10,13,aO,0
14,2019-01-02,3,4,bBCD,7
14,2019-01-02,3,13,sD,7
14,2019-01-02,3,8,fL,1
14,2019-01-02,1,1,aO,21
14,2019-01-02,3,3,aO,1
14,2019-01-02,1,1,nR,7
14,2019-01-02,3,7,fL,7
14,2019-01-02,1,3,bST,7
14,2019-01-02,1,2,bBCD,1
14,2019-01-02,1,3,fL,14
14,2019-01-02,3,6,bBCA,7
14,2019-01-02,6,139,cFE,0
14,2019-01-02,3,8,bST,0
14,2019-01-02,2,2,nR,0
14,2019-01-02,1,1,nO,1
14,2019-01-02,2,4,bBCA,1
14,2019-01-02,1,1,aS,21
15,2019-01-02,1,2,aS,1
15,2019-01-02,3,3,bBCA,1
15,2019-01-02,2,2,fL,21
15,2019-01-02,1,1,fL,45
15,2019-01-02,1,1,bBCD,14
15,2019-01-02,3,3,aO,1
15,2019-01-02,1,1,sD,21
15,2019-01-02,1,2,cFE,7
15,2019-01-02,4,4,aO,0
15,2019-01-02,4,8,sD,0
15,2019-01-02,2,2,aO,21
15,2019-01-02,1,3,cFE,14
15,2019-01-02,4,6,aS,0
15,2019-01-02,1,1,sD,45
15,2019-01-02,1,1,nO,1
15,2019-01-02,1,3,bBCA,14
15,2019-01-02,2,2,bBCD,0
15,2019-01-02,1,3,sD,7
15,2019-01-02,1,2,fL,14
15,2019-01-02,1,1,bST,1
15,2019-01-02,3,3,bBCD,1
15,2019-01-02,5,11,cFE,0
15,2019-01-02,1,1,aO,45
15,2019-01-02,5,13,fL,0
15,2019-01-02,2,4,bBCA,0
15,2019-01-02,2,2,sD,1
15,2019-01-02,1,2,nR,45
15,2019-01-02,3,5,fL,1
16,2019-01-02,1,1,aS,1
16,2019-01-02,2,3,sD,7
16,2019-01-02,2,5,bBCA,7
16,2019-01-02,1,1,nR,7
16,2019-01-02,1,1,nO,7
16,2019-01-02,1,2,cFE,0
16,2019-01-02,2,2,aO,7
16,2019-01-02,1,2,fL,0
16,2019-01-02,3,3,aO,0
16,2019-01-02,1,6,fL,1
16,2019-01-02,2,11,fL,7
16,2019-01-02,2,3,bBCD,7
16,2019-01-02,1,8,sD,1
16,2019-01-02,1,2,aS,0
16,2019-01-02,1,1,aS,7
16,2019-01-02,1,1,aO,1
16,2019-01-02,1,1,bBCA,1
16,2019-01-02,1,1,bBCD,1
16,2019-01-02,1,3,sD,0
17,2019-01-02,2,3,bST,0
17,2019-01-02,1,1,sD,7
17,2019-01-02,7,7,aO,0
17,2019-01-02,4,98,cFE,0
17,2019-01-02,4,12,bBCA,0
17,2019-01-02,3,6,sD,0
17,2019-01-02,1,1,bBCA,1
17,2019-01-02,1,1,fL,7
17,2019-01-02,1,3,cFE,1
17,2019-01-02,1,1,bBCD,1
17,2019-01-02,1,1,nO,0
17,2019-01-02,4,8,aS,0
17,2019-01-02,4,5,bBCD,0
17,2019-01-02,1,1,aO,1
17,2019-01-02,1,1,aO,7
17,2019-01-02,4,10,fL,0
18,2019-01-02,1,1,cFE,0
18,2019-01-02,1,2,sD,7
18,2019-01-02,1,1,aO,0
18,2019-01-02,1,1,fL,45
18,2019-01-02,1,1,bBCD,7
18,2019-01-02,1,1,aO,7
18,2019-01-02,1,2,aO,45
18,2019-01-02,1,7,fL,7
18,2019-01-02,1,1,nO,45
18,2019-01-02,1,1,aS,7
18,2019-01-02,1,1,bBCA,7
19,2019-01-02,1,8,aS,21
19,2019-01-02,1,1,sD,1
19,2019-01-02,1,1,aO,1
19,2019-01-02,1,1,nR,21
19,2019-01-02,1,2,bBCD,21
19,2019-01-02,1,2,fL,1
19,2019-01-02,1,4,fL,21
19,2019-01-02,1,2,aO,21
19,2019-01-02,1,1,bBCA,1
19,2019-01-02,1,6,bST,21
19,2019-01-02,1,1,cFE,21
19,2019-01-02,1,1,bBCD,1
19,2019-01-02,1,2,bBCA,21
19,2019-01-02,1,1,bST,1
19,2019-01-02,1,7,sD,21
19,2019-01-02,1,2,aS,1
20,2019-01-02,1,4,sD,1
20,2019-01-02,2,2,bST,0
20,2019-01-02,2,4,cFE,0
20,2019-01-02,1,1,bBCA,14
20,2019-01-02,1,4,aS,1
20,2019-01-02,1,1,fL,14
20,2019-01-02,1,2,bBCA,0
20,2019-01-02,1,2,bBCD,0
20,2019-01-02,1,2,fL,1
20,2019-01-02,1,1,bBCD,14
20,2019-01-02,1,1,aO,14
20,2019-01-02,1,1,bST,1
20,2019-01-02,4,5,aO,0
20,2019-01-02,1,1,bBCA,1
20,2019-01-02,3,10,aS,0
20,2019-01-02,3,9,fL,0
20,2019-01-02,1,1,bBCD,1
20,2019-01-02,2,7,sD,0
21,2019-01-02,2,2,aS,0
21,2019-01-02,1,1,aS,7
21,2019-01-02,3,395,cFE,0
21,2019-01-02,3,7,sD,0
21,2019-01-02,1,2,bBCA,7
21,2019-01-02,3,3,fL,0
21,2019-01-02,2,5,bBCA,0
21,2019-01-02,2,2,bBCD,0
21,2019-01-02,1,3,fL,7
21,2019-01-02,2,3,aO,0
22,2019-01-02,1,2,bBCA,0
22,2019-01-02,1,2,aO,0
23,2019-01-02,2,3,aO,0
23,2019-01-02,2,4,bBCD,0
23,2019-01-02,4,10,bBCA,0
23,2019-01-02,2,2,bST,0
23,2019-01-02,3,8,sD,0
23,2019-01-02,4,8,cFE,0
23,2019-01-02,3,13,aS,0
23,2019-01-02,4,15,fL,0
0,2019-01-03,1,3,aS,7
0,2019-01-03,2,2,fL,0
0,2019-01-03,2,2,bST,1
0,2019-01-03,1,3,sD,7
0,2019-01-03,2,2,aO,0
0,2019-01-03,2,3,cFE,0
0,2019-01-03,1,1,bBCD,0
0,2019-01-03,1,1,bBCD,7
0,2019-01-03,1,1,nR,1
0,2019-01-03,1,2,bBCA,7
0,2019-01-03,3,6,fL,1
0,2019-01-03,1,1,bST,7
0,2019-01-03,2,2,bBCA,1
0,2019-01-03,2,2,bBCD,1
0,2019-01-03,1,1,aS,0
0,2019-01-03,2,2,aO,1
0,2019-01-03,1,2,fL,7
0,2019-01-03,1,1,aO,7
0,2019-01-03,3,10,sD,1
0,2019-01-03,2,22,aS,1
0,2019-01-03,1,1,bBCA,0
0,2019-01-03,1,3,sD,0
1,2019-01-03,3,5,fL,0
1,2019-01-03,1,7,aS,14
1,2019-01-03,1,4,bBCA,0
1,2019-01-03,1,5,aS,1
1,2019-01-03,1,1,aO,1
1,2019-01-03,1,1,fL,1
1,2019-01-03,1,1,aO,14
1,2019-01-03,1,1,nO,0
1,2019-01-03,1,1,bBCD,14
1,2019-01-03,1,1,bBCA,14
1,2019-01-03,1,3,sD,1
1,2019-01-03,1,12,sD,0
1,2019-01-03,1,1,aO,0
1,2019-01-03,1,10,aS,0
1,2019-01-03,1,2,fL,14
1,2019-01-03,1,1,bST,14
1,2019-01-03,1,1,cFE,0
1,2019-01-03,1,7,sD,14
2,2019-01-03,5,90,cFE,0
2,2019-01-03,4,10,bBCA,1
2,2019-01-03,4,17,aS,0
2,2019-01-03,3,16,aS,1
2,2019-01-03,6,19,fL,0
2,2019-01-03,1,2,bBCD,14
2,2019-01-03,4,18,sD,1
2,2019-01-03,6,6,aO,0
2,2019-01-03,5,6,bBCA,0
2,2019-01-03,2,11,cFE,1
2,2019-01-03,2,8,sD,14
2,2019-01-03,1,8,aS,14
2,2019-01-03,4,26,fL,1
2,2019-01-03,4,18,sD,0
2,2019-01-03,1,2,bBCA,14
2,2019-01-03,4,7,bBCD,1
2,2019-01-03,2,6,bST,0
2,2019-01-03,2,8,fL,14
2,2019-01-03,4,4,aO,1
2,2019-01-03,2,2,aO,14
2,2019-01-03,4,4,bBCD,0
3,2019-01-03,1,1,bBCD,0
3,2019-01-03,2,2,bBCD,1
3,2019-01-03,2,5,sD,1
3,2019-01-03,1,1,fL,21
3,2019-01-03,2,14,fL,1
3,2019-01-03,1,1,nR,0
3,2019-01-03,1,3,nO,45
3,2019-01-03,1,1,cFE,7
3,2019-01-03,1,3,bST,1
3,2019-01-03,2,9,cFE,1
3,2019-01-03,2,6,aS,1
3,2019-01-03,3,3,aO,0
3,2019-01-03,1,1,nO,1
3,2019-01-03,2,8,sD,7
3,2019-01-03,1,1,nR,21
3,2019-01-03,4,26,aS,0
3,2019-01-03,2,2,nR,1
3,2019-01-03,2,6,bST,0
3,2019-01-03,2,2,fL,7
3,2019-01-03,2,4,bBCA,1
3,2019-01-03,2,18,aS,45
3,2019-01-03,2,4,bBCA,7
3,2019-01-03,1,10,nR,45
3,2019-01-03,4,12,fL,0
3,2019-01-03,1,1,aO,21
3,2019-01-03,3,8,cFE,0
3,2019-01-03,4,28,sD,0
3,2019-01-03,1,14,bST,45
3,2019-01-03,2,2,bBCD,7
3,2019-01-03,1,1,bBCD,45
3,2019-01-03,3,3,aO,1
3,2019-01-03,1,1,bBCA,45
3,2019-01-03,2,29,fL,45
3,2019-01-03,1,1,bBCA,0
3,2019-01-03,2,5,aO,45
3,2019-01-03,1,14,sD,45
3,2019-01-03,2,2,aO,7
3,2019-01-03,1,1,nO,21
4,2019-01-03,1,2,fL,1
4,2019-01-03,1,4,bBCA,1
4,2019-01-03,2,2,aO,0
4,2019-01-03,1,1,bBCD,1
4,2019-01-03,1,1,fL,14
4,2019-01-03,2,2,aO,7
4,2019-01-03,1,10,sD,1
4,2019-01-03,2,2,nO,14
4,2019-01-03,1,1,nO,7
4,2019-01-03,1,1,bBCA,14
4,2019-01-03,2,2,fL,0
4,2019-01-03,1,1,bBCD,0
4,2019-01-03,1,1,aS,1
4,2019-01-03,2,2,sD,0
4,2019-01-03,3,3,aO,14
4,2019-01-03,1,1,bBCA,0
4,2019-01-03,2,2,cFE,0
4,2019-01-03,2,2,nR,7
4,2019-01-03,1,1,bST,14
4,2019-01-03,1,2,fL,7
4,2019-01-03,1,1,aO,1
4,2019-01-03,1,2,aS,0
5,2019-01-03,1,6,sD,7
5,2019-01-03,5,5,bBCD,0
5,2019-01-03,1,1,nR,1
5,2019-01-03,2,2,bBCD,7
5,2019-01-03,2,2,aO,1
5,2019-01-03,1,2,sD,1
5,2019-01-03,6,9,bBCA,0
5,2019-01-03,2,6,fL,1
5,2019-01-03,7,20,aS,0
5,2019-01-03,1,1,nO,1
5,2019-01-03,1,2,cFE,1
5,2019-01-03,1,2,bBCA,1
5,2019-01-03,13,15,aO,0
5,2019-01-03,1,1,bBCD,1
5,2019-01-03,9,126,cFE,0
5,2019-01-03,2,2,bST,1
5,2019-01-03,3,5,fL,7
5,2019-01-03,1,1,nO,0
5,2019-01-03,1,1,nO,7
5,2019-01-03,1,1,bST,0
5,2019-01-03,3,3,aO,7
5,2019-01-03,2,4,aS,1
5,2019-01-03,2,2,bBCA,7
5,2019-01-03,8,36,sD,0
5,2019-01-03,2,8,aS,7
5,2019-01-03,11,36,fL,0
6,2019-01-03,1,1,bBCD,14
6,2019-01-03,1,2,aO,21
6,2019-01-03,1,1,aO,45
6,2019-01-03,1,1,bST,45
6,2019-01-03,1,1,nR,45
6,2019-01-03,1,1,nR,14
6,2019-01-03,1,12,fL,21
6,2019-01-03,1,1,nO,45
6,2019-01-03,1,6,aS,14
6,2019-01-03,51,60,aO,0
6,2019-01-03,1,5,sD,14
6,2019-01-03,29,81,aS,0
6,2019-01-03,2,4,bBCD,7
6,2019-01-03,1,1,bBCA,45
6,2019-01-03,1,2,bBCD,21
6,2019-01-03,1,4,nO,7
6,2019-01-03,43,105,fL,0
6,2019-01-03,4,9,fL,7
6,2019-01-03,24,50,bBCA,0
6,2019-01-03,1,2,bBCA,21
6,2019-01-03,9,17,bST,0
6,2019-01-03,20,26,bBCD,0
6,2019-01-03,2,5,bBCA,7
6,2019-01-03,1,2,sD,21
6,2019-01-03,51,722,cFE,0
6,2019-01-03,1,2,fL,45
6,2019-01-03,2,3,nR,0
6,2019-01-03,1,1,bBCA,14
6,2019-01-03,1,6,aS,21
6,2019-01-03,1,1,bBCD,45
6,2019-01-03,4,6,aO,7
6,2019-01-03,1,1,sD,45
6,2019-01-03,36,127,sD,0
6,2019-01-03,1,2,fL,14
